Kanji,Onyomi,Kunyomi,Meaning
政,seiセイ,matsurigotoまつりごと,"politics, government"
議,giギ,,"deliberation, consultation, debate"
民,minミン,tamiたみ,"people, nation, subjects"
連,renレン,"tsura(naru), tsu(reru)つら(なる)、つ(れる)","take along, lead, join, connect"
対,"tai, tsuiタイ、 ツイ",,"opposite, even, equal, versus, anti-, compare"
部,buブ,,"section, bureau, dept, class, copy, part, portion"
合,"gou, ga, kaゴウ、 ガッ、 カッ","a(u), aiあ(う)、あい","fit, suit, join, 0.1"
市,shiシ,ichiいち,"market, city, town"
内,naiナイ,uchiうち,"inside, within, between, among, house, home"
相,"sou, shouソウ、 ショウ",aiあい,"inter-, mutual, together, each other, minister of state"
定,"tei, jouテイ、 ジョウ",sada(meru)さだ(める),"determine, fix, establish, decide"
回,kaiカイ,mawa(su)まわ(す),"times, round, revolve, counter"
選,senセン,era(bu)えら(ぶ),"elect, select, choose, prefer"
米,"bei, mai, meetoruベイ、 マイ、 メエトル",komeこめ,"rice, USA, meter"
実,jitsuジツ,"mi, mino(ru)み、みの(る)","reality, truth"
関,kanカン,"seki, kaka(waru)せき、 かか(わる)","connection, barrier, gateway, involve, concerning"
決,ketsuケツ,ki(meru)き(める),"decide, fix, agree upon, appoint"
全,zenゼン,"matta(ku), sube(te)まった(く)、 すべ(て)","whole, entire, all, complete, fulfill"
表,hyouヒョウ,"omote, arawa(su)おもて、 あらわ(す)","surface, table, chart, diagram"
戦,senセン,"ikusa, tataka(u)いくさ、 たたか(う)","war, battle, match"
経,keiケイ,"he(ru), ta(tsu)へ(る)、 た(つ)","longitude, pass thru, expire, warp"
最,saiサイ,motto(mo)もっと(も),"utmost, most, extreme"
現,genゲン,"arawa(reru), utsu(tsu)あらわ(れる)、 うつ(つ)","present, existing, actual"
調,chouチョウ,"shira(beru), tono(u)しら(べる)、ととの(う)","tune, tone, meter, prepare, investigate"
化,"ka, keカ、 ケ","ba(keru), fu(keru) ば(ける)、 ふ(ける)","change, take the form of, influence, enchant, delude, -ization"
当,touトウ,a(taru)あ(たる),"hit, right, appropriate"
約,yakuヤク,tsuzu(maru)つづ(まる),"promise, approximately, shrink"
首,shuシュ,kubiくび,neck
法,houホウ,noriのり,"method, law, rule, principle, model, system"
性,"sei, shouセイ、 ショウ",,"sex, gender, nature"
